,fighter_name,date_rmean,knock_down_rmean,sig_strike_pct_rmean,takdown_pct_rmean,submission_att_rmean,pass_rmean,rev_rmean,knock_down,sig_strikes,sig_strike_pct,total_strikes,takedown,takdown_pct,submission_att,pass,rev,head,body,leg,distance,clinch,ground,height,weight,reach,stance,DOB,date,Winner,win_by,last_round,Fight_type,0_kd,1_kd,2_kd,3_kd,4_kd,5_kd,0_rev,1_rev,2_rev,3_rev,5_rev,4_rev,Orthodox,Southpaw,,Switch,Open Stance,Sideways,Submission,Decision - Unanimous,TKO - Doctor's Stoppage,KO/TKO,Decision - Split,Decision - Majority,Could Not Continue,DQ,Overturned,Other,1_round(s),3_round(s),2_round(s),5_round(s),4_round(s)
0,Aaron Brink,2000-11-17,,,,,,,0,0 of 5,0.0,0 of 5,0 of 1,0.0,0,0,0,0 of 5,0 of 0,0 of 0,0 of 3,0 of 2,0 of 0,"6' 3""",205.0,,Orthodox,"Nov 12, 1974",2000-11-17,Andrei Arlovski,Submission,1,Heavyweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,Aaron Phillips,2014-05-24,,,,,,,0,18 of 40,0.45,109 of 137,0 of 0,0.0,1,1,1,5 of 23,12 of 14,1 of 3,9 of 26,3 of 6,6 of 8,"5' 9""",135.0,"70""",Southpaw,"Aug 05, 1989",2014-05-24,Sam Sicilia,Decision - Unanimous,3,Featherweight Bout,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2,Aaron Phillips,2014-08-23,0.0,0.45,0.0,1.0,1.0,1.0,0,38 of 54,0.7,230 of 279,0 of 1,0.0,0,0,0,23 of 39,12 of 12,3 of 3,14 of 25,17 of 18,7 of 11,"5' 9""",135.0,"70""",Southpaw,"Aug 05, 1989",2014-08-23,Matt Hobar,Decision - Unanimous,3,Bantamweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
3,Aaron Riley,2002-05-10,,,,,,,0,55 of 130,0.42,93 of 170,0 of 3,0.0,1,1,0,18 of 83,18 of 20,19 of 27,31 of 83,24 of 47,0 of 0,"5' 8""",155.0,"69""",Southpaw,"Dec 09, 1980",2002-05-10,Robbie Lawler,Decision - Unanimous,3,Welterweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
4,Aaron Riley,2006-01-16,0.0,0.42,0.0,1.0,1.0,0.0,0,9 of 23,0.39,17 of 32,2 of 4,0.5,0,1,0,2 of 15,4 of 5,3 of 3,1 of 13,7 of 9,1 of 1,"5' 8""",155.0,"69""",Southpaw,"Dec 09, 1980",2006-01-16,Spencer Fisher,TKO - Doctor's Stoppage,1,Welterweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
5,Aaron Riley,2008-11-15,0.0,0.405,0.25,0.5,1.0,0.0,0,98 of 222,0.44,133 of 261,1 of 1,1.0,0,0,0,63 of 172,21 of 27,14 of 23,69 of 181,21 of 29,8 of 12,"5' 8""",155.0,"69""",Southpaw,"Dec 09, 1980",2008-11-15,Aaron Riley,Decision - Unanimous,3,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
6,Aaron Riley,2009-03-07,0.0,0.4166666666666667,0.5,0.3333333333333333,0.6666666666666666,0.0,0,4 of 9,0.44,4 of 9,0 of 0,0.0,0,0,0,0 of 5,1 of 1,3 of 3,4 of 9,0 of 0,0 of 0,"5' 8""",155.0,"69""",Southpaw,"Dec 09, 1980",2009-03-07,Shane Nelson,KO/TKO,1,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
7,Aaron Riley,2009-08-08,0.0,0.42333333333333334,0.5,0.0,0.3333333333333333,0.0,0,50 of 122,0.4,154 of 236,2 of 5,0.4,0,1,0,28 of 96,18 of 22,4 of 4,16 of 74,24 of 35,10 of 13,"5' 8""",155.0,"69""",Southpaw,"Dec 09, 1980",2009-08-08,Aaron Riley,Decision - Unanimous,3,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
8,Aaron Riley,2009-11-14,0.0,0.4266666666666666,0.4666666666666666,0.0,0.3333333333333333,0.0,0,15 of 73,0.2,19 of 77,0 of 2,0.0,0,0,0,6 of 56,7 of 11,2 of 6,8 of 55,7 of 18,0 of 0,"5' 8""",155.0,"69""",Southpaw,"Dec 09, 1980",2009-11-14,Ross Pearson,TKO - Doctor's Stoppage,2,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
9,Aaron Riley,2010-05-29,0.0,0.3466666666666666,0.1333333333333333,0.0,0.3333333333333333,0.0,0,46 of 104,0.44,124 of 184,3 of 8,0.37,0,4,0,17 of 68,11 of 15,18 of 21,27 of 81,16 of 19,3 of 4,"5' 8""",155.0,"69""",Southpaw,"Dec 09, 1980",2010-05-29,Aaron Riley,Decision - Unanimous,3,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
